cpu_usage,memory_usage,net_io,disk_io,cloud_provider,region,vm_type,vCPU,RAM_GB,price_per_hour,latency_ms,throughput,cost,utilization,target
17.96,4.68,15.6,2.9,AWS,eu-west-1,m5.xlarge,4,16,0.192,433.76,1206.22,97.94,11.32,scale_down
6.37,5.45,18.34,15.21,GCP,ap-south-1,c5.2xlarge,8,16,0.34,264.75,869.57,71.5339,5.91,scale_down
99.34,76.98,590.61,671.03,Azure,us-west-2,t3.large,2,8,0.0928,194.32,1966.63,31.2367,88.16,scale_up
76.63,98.47,1465.63,785.04,Azure,eu-west-1,c5.2xlarge,8,16,0.34,155.78,204.37,167.6076,87.55,scale_up
31.55,66.37,203.51,215.63,Azure,ap-south-1,m5.xlarge,4,16,0.192,159.3,1044.94,75.6643,48.96,no_action
28.18,26.84,59.79,46.09,Azure,us-west-2,c5.2xlarge,8,16,0.34,48.8,400.01,11.3963,27.51,no_action
56.4,68.61,342.81,119.0,AWS,us-west-2,c5.2xlarge,8,16,0.34,151.66,338.88,4.1625,62.51,no_action
75.35,75.97,1211.34,774.11,AWS,ap-south-1,t3.micro,2,1,0.0116,304.95,1853.34,5.4418,75.66,no_action
44.89,32.54,224.39,131.3,Azure,us-east-1,m5.xlarge,4,16,0.192,366.16,1278.74,122.6699,38.72,no_action
25.47,21.65,23.6,12.8,Azure,us-east-1,t3.micro,2,1,0.0116,25.01,1424.22,0.9365,23.56,no_action
90.91,79.43,1008.57,844.54,AWS,eu-west-1,m5.xlarge,4,16,0.192,128.4,826.66,104.4943,85.17,scale_up
61.27,65.22,349.74,123.91,AWS,ap-south-1,m5.xlarge,4,16,0.192,57.22,918.5,30.3473,63.24,no_action
66.33,65.84,227.2,77.51,GCP,us-west-2,m5.xlarge,4,16,0.192,117.83,859.94,113.1173,66.09,no_action
88.35,84.54,1192.44,461.65,Azure,eu-west-1,t3.micro,2,1,0.0116,125.84,344.9,1.8362,86.45,scale_up
28.87,7.55,49.72,15.04,AWS,us-west-2,t3.micro,2,1,0.0116,146.0,83.41,5.0956,18.21,no_action
97.71,77.19,644.89,593.67,GCP,eu-west-1,t3.medium,2,4,0.0464,492.9,491.69,22.4699,87.45,scale_up
11.03,18.97,63.35,26.79,Azure,us-east-1,t3.large,2,8,0.0928,49.69,1672.25,21.4963,15.0,scale_down
39.91,58.45,423.8,137.17,Azure,ap-south-1,c5.2xlarge,8,16,0.34,52.61,1881.64,97.5305,49.18,no_action
35.11,66.99,450.94,114.49,AWS,eu-west-1,t3.medium,2,4,0.0464,331.69,1636.27,18.5688,51.05,no_action
28.96,16.75,88.26,9.44,AWS,us-west-2,m5.xlarge,4,16,0.192,143.04,1403.71,117.0719,22.86,no_action
25.53,28.07,78.53,33.45,GCP,ap-south-1,m5.xlarge,4,16,0.192,292.44,750.84,129.9755,26.8,no_action
88.72,90.76,1151.96,434.56,AWS,us-west-2,t3.micro,2,1,0.0116,357.53,482.13,2.7256,89.74,scale_up
55.57,33.75,247.09,116.3,Azure,eu-west-1,m5.xlarge,4,16,0.192,125.77,1946.29,54.4584,44.66,no_action
59.03,56.76,445.67,107.55,Azure,us-west-2,t3.large,2,8,0.0928,252.1,1148.29,51.3732,57.89,no_action
97.09,92.43,1453.07,498.45,GCP,us-east-1,t3.micro,2,1,0.0116,278.62,1148.86,8.188,94.76,scale_up
68.3,42.68,167.8,189.2,Azure,us-east-1,m5.xlarge,4,16,0.192,468.4,1395.1,78.8878,55.49,no_action
41.44,41.81,229.02,262.17,Azure,us-west-2,t3.medium,2,4,0.0464,72.63,1420.73,18.4894,41.62,no_action
26.01,27.4,51.13,25.08,Azure,us-west-2,t3.medium,2,4,0.0464,400.16,1303.43,23.4651,26.7,no_action
89.47,83.15,1172.03,496.89,Azure,eu-west-1,m5.xlarge,4,16,0.192,81.75,1963.86,116.0051,86.31,scale_up
95.57,80.81,627.06,613.35,GCP,us-east-1,t3.medium,2,4,0.0464,386.15,439.48,20.827,88.19,scale_up
85.28,90.99,638.35,379.65,GCP,us-east-1,m5.xlarge,4,16,0.192,484.92,1432.04,5.8613,88.13,scale_up
79.61,72.43,928.31,713.1,GCP,eu-west-1,t3.large,2,8,0.0928,33.81,1831.28,29.608,76.02,no_action
53.25,56.28,274.27,232.51,AWS,us-east-1,t3.micro,2,1,0.0116,28.62,1136.41,1.3348,54.77,no_action
77.35,79.34,1479.51,405.2,AWS,us-west-2,t3.micro,2,1,0.0116,13.49,1529.1,6.7416,78.35,no_action
47.93,54.63,354.04,61.33,AWS,us-west-2,m5.xlarge,4,16,0.192,190.43,1255.46,69.649,51.28,no_action
76.76,89.27,526.51,651.47,AWS,us-east-1,t3.micro,2,1,0.0116,470.41,1155.19,3.2491,83.02,scale_up
24.62,18.78,82.04,32.57,AWS,us-east-1,m5.xlarge,4,16,0.192,107.31,555.18,29.8156,21.7,no_action
45.14,56.23,254.16,220.4,AWS,eu-west-1,t3.medium,2,4,0.0464,173.61,528.78,16.595,50.69,no_action
69.49,59.4,421.39,120.51,AWS,us-west-2,t3.medium,2,4,0.0464,92.83,1503.72,26.9637,64.44,no_action
81.25,87.42,1367.12,637.12,Azure,ap-south-1,t3.micro,2,1,0.0116,123.11,1362.89,6.1827,84.33,scale_up
15.16,24.79,32.0,44.78,AWS,us-west-2,t3.large,2,8,0.0928,197.65,31.57,60.5028,19.98,no_action
20.3,14.48,49.3,4.16,AWS,eu-west-1,m5.xlarge,4,16,0.192,50.39,1208.86,76.6296,17.39,no_action
3.4,27.93,97.42,49.8,AWS,eu-west-1,c5.2xlarge,8,16,0.34,32.66,1476.7,133.7946,15.67,no_action
94.04,88.55,601.12,350.46,GCP,eu-west-1,t3.large,2,8,0.0928,351.98,154.8,54.9299,91.29,scale_up
40.5,53.25,445.26,270.09,GCP,us-east-1,t3.medium,2,4,0.0464,122.16,1816.31,19.7928,46.87,no_action
94.43,86.75,924.22,843.81,GCP,ap-south-1,m5.xlarge,4,16,0.192,60.04,990.32,1.7593,90.59,scale_up
23.02,24.68,74.42,34.05,GCP,us-west-2,m5.xlarge,4,16,0.192,122.57,806.44,66.1396,23.85,no_action
66.09,69.12,322.4,130.67,AWS,us-west-2,t3.micro,2,1,0.0116,26.48,1850.04,7.6774,67.61,no_action
15.69,18.88,69.57,22.73,Azure,eu-west-1,m5.xlarge,4,16,0.192,315.64,1172.79,124.5951,17.29,scale_down
1.74,11.84,10.68,16.78,Azure,ap-south-1,t3.micro,2,1,0.0116,88.99,1297.23,3.2499,6.79,scale_down
99.36,99.59,1198.16,621.66,GCP,ap-south-1,m5.xlarge,4,16,0.192,158.22,1629.45,94.7178,99.47,scale_up
98.51,82.5,1081.16,851.51,AWS,us-west-2,c5.2xlarge,8,16,0.34,45.96,1754.56,135.1812,90.51,scale_up
66.47,69.49,160.17,198.53,Azure,ap-south-1,c5.2xlarge,8,16,0.34,193.54,1940.13,206.2044,67.98,no_action
78.35,70.41,575.36,715.03,AWS,us-west-2,c5.2xlarge,8,16,0.34,269.5,1502.32,223.5725,74.38,no_action
11.34,7.23,20.5,12.57,AWS,us-east-1,c5.2xlarge,8,16,0.34,140.99,422.38,215.0298,9.28,scale_down
87.45,84.29,1331.37,484.67,Azure,ap-south-1,t3.medium,2,4,0.0464,409.11,1936.27,2.9958,85.87,scale_up
75.72,92.65,1120.31,722.45,AWS,us-east-1,t3.large,2,8,0.0928,110.42,281.38,1.0633,84.19,scale_up
49.69,66.17,239.3,178.5,GCP,us-west-2,t3.medium,2,4,0.0464,392.91,799.12,20.8002,57.93,no_action
13.78,25.26,76.89,3.31,AWS,us-east-1,t3.large,2,8,0.0928,27.7,1245.4,23.2733,19.52,no_action
54.18,48.4,333.91,150.08,Azure,ap-south-1,t3.large,2,8,0.0928,350.35,368.33,46.5656,51.29,no_action
60.04,36.89,176.92,60.22,Azure,ap-south-1,t3.micro,2,1,0.0116,88.62,564.39,1.4879,48.47,no_action
46.02,65.77,151.5,132.52,GCP,us-east-1,c5.2xlarge,8,16,0.34,164.18,193.66,117.9608,55.89,no_action
81.92,94.19,1248.26,410.71,Azure,ap-south-1,t3.large,2,8,0.0928,108.63,747.24,32.4217,88.05,scale_up
63.64,31.47,200.97,228.34,Azure,us-west-2,t3.medium,2,4,0.0464,448.13,1028.24,17.7986,47.55,no_action
47.87,34.19,394.96,95.57,GCP,us-west-2,c5.2xlarge,8,16,0.34,284.16,1683.01,22.1469,41.03,no_action
51.33,44.2,359.53,169.9,AWS,us-east-1,m5.xlarge,4,16,0.192,294.18,1476.28,77.1872,47.77,no_action
84.08,89.38,1070.78,513.66,Azure,us-west-2,t3.micro,2,1,0.0116,493.33,1215.49,1.9902,86.73,scale_up
79.02,75.6,785.1,404.02,GCP,us-west-2,c5.2xlarge,8,16,0.34,448.9,169.67,128.5621,77.31,no_action
73.63,64.62,426.83,114.48,Azure,us-west-2,c5.2xlarge,8,16,0.34,89.59,1340.6,227.5353,69.12,no_action
6.15,29.04,71.1,9.98,GCP,eu-west-1,t3.large,2,8,0.0928,369.44,1064.38,47.2815,17.6,no_action
9.62,17.82,36.92,22.71,GCP,eu-west-1,c5.2xlarge,8,16,0.34,276.56,1102.35,49.655,13.72,scale_down
64.21,53.83,288.63,152.96,AWS,eu-west-1,t3.medium,2,4,0.0464,177.69,1859.76,27.7572,59.02,no_action
29.73,6.15,37.92,46.32,GCP,us-west-2,m5.xlarge,4,16,0.192,362.19,105.71,108.0785,17.94,no_action
79.09,74.93,1314.57,699.12,AWS,us-east-1,t3.large,2,8,0.0928,263.92,724.07,58.6224,77.01,no_action
62.12,65.99,349.64,184.95,GCP,ap-south-1,t3.micro,2,1,0.0116,222.18,1159.2,2.9755,64.05,no_action
18.73,3.51,93.98,31.39,GCP,us-east-1,t3.medium,2,4,0.0464,170.78,287.15,26.5364,11.12,scale_down
17.19,29.93,75.24,35.35,AWS,ap-south-1,c5.2xlarge,8,16,0.34,390.39,294.82,50.343,23.56,no_action
10.26,24.64,11.06,42.32,GCP,us-east-1,t3.medium,2,4,0.0464,68.11,800.6,26.6454,17.45,no_action
64.73,30.49,339.38,191.38,AWS,eu-west-1,c5.2xlarge,8,16,0.34,359.51,1202.07,202.4592,47.61,no_action
50.79,67.89,161.34,196.56,GCP,us-west-2,t3.medium,2,4,0.0464,255.41,1226.79,0.6506,59.34,no_action
97.97,93.7,523.02,690.82,Azure,ap-south-1,m5.xlarge,4,16,0.192,386.77,755.13,9.7065,95.84,scale_up
27.77,13.53,11.32,49.24,AWS,us-west-2,t3.large,2,8,0.0928,420.25,258.08,61.5343,20.65,no_action
63.49,38.22,415.12,200.93,Azure,us-east-1,t3.large,2,8,0.0928,61.56,834.86,57.7095,50.86,no_action
71.33,53.48,113.14,278.19,Azure,us-west-2,t3.medium,2,4,0.0464,127.87,1159.49,5.5682,62.41,no_action
8.33,6.6,21.27,25.76,AWS,us-east-1,c5.2xlarge,8,16,0.34,487.89,923.39,136.5789,7.47,scale_down
82.49,79.3,897.32,556.07,Azure,us-east-1,m5.xlarge,4,16,0.192,400.89,705.28,64.8305,80.89,scale_up
55.42,32.63,410.21,163.32,AWS,us-east-1,t3.micro,2,1,0.0116,264.57,887.12,3.3541,44.02,no_action
96.54,98.38,873.31,462.45,Azure,ap-south-1,t3.large,2,8,0.0928,323.78,823.38,1.7867,97.46,scale_up
31.22,38.88,192.43,217.97,GCP,eu-west-1,m5.xlarge,4,16,0.192,14.76,217.18,110.6188,35.05,no_action
62.44,62.21,495.49,200.8,Azure,us-east-1,t3.large,2,8,0.0928,404.39,1925.67,63.1068,62.32,no_action
